"path","category","review_scope","disposition","notable_result"
"PATCH_NOTES_2026-08-02.txt","Documentation","Revision 2026-08-02A patch record","REVIEWED","Records the Git round-trip, executable-bit, systemd-context, CODEOWNERS-activation and licensing fixes, the evidence for each, and the checks that remain unproven until the first CI run."
"PATCH_NOTES_2026-08-08.txt","Documentation","Revision 2026-08-08A GitHub CI correction record","REVIEWED","Records the first real GitHub Actions failure, the exact setup-python cache-input correction, the regression test and the unchanged protected-code boundary."
"README.md","Documentation","Operator overview architecture launch pair changes and limits","REVIEWED","Points to root immutable deployment and promotion guides; warns about stop-limit and external validation."
"RELEASE_MANIFEST.json","Release evidence","File hashes strategy fingerprints and release metadata","REGENERATED; VERIFIED","Regenerated after the local infrastructure change; exact current file set, sizes, hashes and strategy fingerprints are verified."
"RELEASE_MODE","Release configuration","Immutable package mode gate","REVIEWED","Value is live or testnet; each package permits simulation plus only its own authenticated execution mode."
"RELEASE_SHA256.txt","Release evidence","Manifest-derived release identity","FINALIZED; VERIFIED","Regenerated with the final manifest; deliberately distinct from the adjacent external ZIP checksum."
"VALIDATION_STATUS.json","Audit evidence","Final test/readiness claims","FINALIZED; BITCOIN-ONLY","Records current offline counts without self-certifying mutable GitHub state; keeps exact-commit CI, Oracle, Binance Testnet, Telegram, profitability and live-promotion gates explicit."
"deploy/bitcoin-bot-deploy","Deployment","Root-owned one-use artifact trust gate and simulation-only runner interface","REVIEWED; ORACLE RUN BLOCKED","Accepts only preflight simulation verify; independently requires a root-approved tar SHA-256 and root:root mode-0600 environment; verifies persistent runtime ownership against non-root BOT_UID/BOT_GID; runner has no Docker or env access; consumes approval before transactional install."
"deploy/backup_state.sh","Deployment","Root-only SQLite config audit and metadata backup","CREATED; LOCAL SYNTAX/STATIC TESTS PASSED","Uses SQLite online backup and quick_check, rejects symlinks, keeps sensitive configuration root-only and writes a complete checksum inventory; actual Oracle backup pending."
"deploy/install_artifact.sh","Deployment","Immutable install identity health rollback retention and live gates","REVIEWED; ORACLE RUN BLOCKED","Encodes verified artifact install current/previous links exact stack/config/release checks and rollback conditions; privileged environment values are parsed literally under an explicit key allowlist and the private env must be root-owned; actual host drills pending."
"deploy/install_monitoring.sh","Deployment","Monitoring unit/environment installation","REVIEWED; SYSTEMD RUN BLOCKED","Separates root-owned monitor configuration, parses it literally under the approved-key allowlist and installs canonical units; actual permissions/startup pending."
"deploy/lib/envfile.sh","Deployment","Strict non-evaluating parser for privileged environment files","REVIEWED","Replaces 'set -a; source FILE' in the privileged installers. Values are assigned with printf -v and never interpreted; unknown, duplicate, malformed and process-control keys are rejected against the shipped-template allowlist; privileged files must be root-owned and not group- or world-writable."
"deploy/oracle_validate.sh","Deployment","Redacted Oracle host service reachability and ten-sample HTTPS timing diagnostic","CREATED; LOCAL SYNTAX/STATIC TESTS PASSED","Reports no secret values; covers host Docker Compose Chrony resources release modes health ports providers IMDS and Binance Testnet DNS/connect/TLS/first-byte/total min median p95 max; Oracle execution pending."
"deploy/oracle_setup.sh","Deployment","Ubuntu 24.04 ARM64 Oracle A1 Docker host privilege time swap update guard and restricted runner setup","REVIEWED; ORACLE RUN BLOCKED","Uses Docker's current official source format, removes deploy-user Docker privilege, defaults the GitHub runner off, installs root trust/backup/diagnostic/resource controls and retains root:root mode-0600 secrets; no Oracle instance was available locally."
"deploy/resource_guard.sh","Deployment","Root-only storage and inode pressure fail-safe","CREATED; LOCAL SYNTAX/STATIC TESTS PASSED","Writes a redacted resource status and stops only the four identified Bitcoin project services at critical pressure; Oracle pressure drill pending."
"deploy/systemd/bitcoin-bot-resource-guard.service","Systemd","Root storage pressure guard service hardening","CREATED; SOURCE SYSTEMD GATE PASSED","Uses strict systemd filesystem and privilege restrictions while permitting only the runtime status path and Docker control socket required for the fail-safe."
"deploy/systemd/bitcoin-bot-resource-guard.timer","Systemd","One-minute persistent resource guard schedule","CREATED; SOURCE SYSTEMD GATE PASSED","Starts after boot and runs the root guard every minute; Oracle timer execution pending."
"deploy/verify_backup.sh","Deployment","Non-destructive backup checksum SQLite and archive-path verification","CREATED; LOCAL SYNTAX/STATIC TESTS PASSED","Validates only canonical timestamp backups and never restores data or prints private contents; actual restore drill pending."
"deploy/verify_release.sh","Verification","Mode-separated offline gate forbidden components tests syntax pairing manifest and YAML","REVIEWED","Rejects legacy Sharia/universe paths and runs canonical checks including the extensionless root wrapper; Docker fallback is structural only."
"deploy/verify_stack_identity.py","Deployment","Exact Compose project service image config release and health identity","REVIEWED; RUNTIME BLOCKED","Prevents hidden residual/mismatched stack identity; exercised by synthetic tests but not a live daemon."
"docker-compose.yml","Deployment","Canonical four-service topology secrets mounts hardening health timing and limits","REVIEWED; RUNTIME BLOCKED","Exactly moneyflow freqtrade execution-sidecar and telegram-broker; only sidecar receives Binance keys and signed-request timing controls; runtime proof requires Docker."
"docs/BACKTEST_REVIEW_2026-07-29.md","Documentation","Exact-source Freqtrade result repeat and promotion verdict","CREATED; REVIEWED","The 30 July deployment-only rebuild produced the identical canonical 2349-trade list and metrics; raw result integrity and strategy byte identity reconfirm the live prohibition."
"docs/BINANCE_OFFICIAL_SOURCE_REVIEW_2026-07-29.md","Documentation","Pinned six-repository Binance review adopted rejected and deferred decisions","CREATED; REVIEWED","Documents four non-strategy hardening changes live plugin evidence and the unchanged failed profitability gate."
"docs/EXTERNAL_VALIDATION_RUNBOOK.md","Documentation","Testnet Oracle Telegram failure drills","REVIEWED","Correctly distinguishes external evidence from offline tests."
"docs/GITHUB_ORACLE_DEPLOYMENT.md","Documentation","Supported root-approved self-hosted Oracle simulation deployment","REVIEWED","Documents two-pass artifact approval, root:root mode-0600 environment managed through sudoedit, separate runner identity, exact wrapper commands and simulation-only boundary; no git-pull or GitHub-hosted SSH deployment."
"docs/GITHUB_RELEASE_AND_ROLLBACK_GUIDE.md","Documentation","Release and rollback operator sequence","REVIEWED","Requires exact artifact/checksum and identity checks; external execution pending."
"docs/LIVE_PROMOTION_CHECKLIST.md","Documentation","Backtest bias Testnet soak and signed evidence gates","REVIEWED","All mandatory live assertions remain blocked until retained evidence exists."
"docs/OFFICIAL_DEPLOYMENT_REFERENCES.md","Documentation","Primary Freqtrade Binance Oracle and GitHub references","REVIEWED","Includes official Spot Test Network and hosted/self-hosted runner security references and warns that capabilities can change."
"docs/ORACLE_SETUP_GUIDE.md","Documentation","Beginner-safe Ubuntu 24.04 ARM64 Oracle A1 deployment acceptance and recovery","CREATED; REVIEW ONLY","Documents network SSH IMDSv2 Docker privilege secrets monitoring backups validation failures and the explicit separation between infrastructure readiness and LIVE promotion."
"docs/ORACLE_GITHUB_SOURCE_REVIEW_2026-07-30.md","Documentation","Pinned Oracle capacity ARM64 IMDS and GitHub Marketplace review","CREATED; REVIEWED","Adopts only current deployment guidance, rejects the unrelated Oracle Database action and keeps third-party capacity tooling outside the bot release."
"docs/SECURITY_AND_SECRETS_GUIDE.md","Documentation","Credential scope storage redaction and rotation","REVIEWED","Requires root-owned private environment storage, separate minimal-privilege credentials and offline private promotion key."
"docs/audit/FILE_REVIEW_LEDGER.csv","Audit","Per-path semantic review record","CREATED; SELF-DESCRIBING","Hashes belong to the final release manifest; this ledger records scope disposition and notable boundary."
"docs/audit/FUNCTION_PARITY_MATRIX.csv","Audit","Deterministic current production-function inventory and source hashes","GENERATED; SELF-CHECKED","Contains every current production function from services monitoring and the Freqtrade strategy; release verification rejects stale rows."
"docs/audit/ISSUE_LEDGER.csv","Audit","Fixed intentional blocked and inherent issues","CREATED","Separates source fixes from external evidence gaps and records root-approved deployment and Telegram self-audit controls."
"docs/audit/PORT_AND_REMOVAL_MATRIX.md","Audit","Parent/request capability decisions","CREATED","Documents Bitcoin-only ports Sharia/top-50 removal and canonical implementation paths."
"docs/audit/REMAINING_LIMITATIONS.md","Audit","External blockers inherent risks and final release boundary","CREATED; FINALIZED","Explicitly blocks real-money certification and distinguishes offline self-hosted/Telegram controls from required external execution evidence."
"docs/audit/STRATEGY_LINEAGE.md","Audit","Formula provenance intentional tail removal and canonical hashes","CREATED","Records requested entry hashes plus all protected signal-method fingerprints."
"docs/audit/TEST_COMMANDS.md","Audit","Reproducible offline runtime external and packaging commands","CREATED","Defines commands including extensionless wrapper syntax without misrepresenting blocked commands as executed."
"freqtrade/.gitignore","Freqtrade","Offline data result and local configuration exclusions","REVIEWED","Generated analysis data/results and local secrets remain outside source tracking."
"freqtrade/README.md","Freqtrade","Order-owner boundary and analysis interpretation","REVIEWED","Explains BACKTEST/HYPEROPT-only Freqtrade trade permission and inconclusive-analysis handling."
"freqtrade/docker-compose.yml","Freqtrade","Offline-analysis profile","REVIEWED; DOCKER RUN BLOCKED","Not a production order-owning stack; used only for official Freqtrade analysis helpers."
"freqtrade/scripts/backtest.sh","Freqtrade","Exact one-pair official backtest and artifact gate","REVIEWED; CANONICAL RUN FAILED PROFIT GATE","Forces BTC/stable Spot one-pair config and retains official artifacts; exact strategy produced 2349 trades -49.10 percent and 49.11 percent maximum drawdown."
"freqtrade/scripts/download_data.sh","Freqtrade","Exact pair seven-timeframe historical download","REVIEWED; NETWORK/RUN BLOCKED","Downloads only requested BTC/stable pair data for 1m 5m 15m 1h 2h 4h and 1d."
"freqtrade/scripts/lookahead.sh","Freqtrade","Official lookahead analysis helper","REVIEWED; DEFERRED AFTER FAILED PROFIT GATE","One-pair no-auth artifact-retaining helper avoids unsafe allow-limit-orders override; rerun only for a redesigned frozen strategy."
"freqtrade/scripts/recursive.sh","Freqtrade","Official recursive analysis helper","REVIEWED; DEFERRED AFTER FAILED PROFIT GATE","One-pair no-auth helper retains complete output; rerun only after a redesigned frozen strategy passes the profitability gate."
"freqtrade/scripts/start.sh","Freqtrade","Offline profile startup","REVIEWED; DOCKER RUN BLOCKED","Starts only the documented offline-analysis profile and is not the Oracle runtime entry point."
"freqtrade/scripts/stop.sh","Freqtrade","Offline profile shutdown","REVIEWED; DOCKER RUN BLOCKED","Stops the offline-analysis profile without controlling the canonical root stack."
"freqtrade/scripts/verify.sh","Freqtrade","Pinned image config and strategy discovery","REVIEWED; DOCKER RUN BLOCKED","Pulls the official image then validates config and IctSmcStrategy discovery."
"freqtrade/tests/audit_probes.py","Strategy tests","Pinned Freqtrade runtime probe entry-gate behavior","PORTED; CONTAINER RUN PENDING","Forces 5m MACD gate behavior and proves the 1m MACD remains non-gating inside the official image when CI runs."
"freqtrade/user_data/config.json","Freqtrade","Spot dry-run base config and analysis safeguards","REVIEWED","Root runtime adds the authoritative one-pair overlay; credentials Telegram and API exposure are absent/disabled in offline helpers."
"freqtrade/user_data/strategies/IctSmcStrategy.py","Strategy","Indicators entry/exit formula pair gate signal seam and runtime order denial","REVIEWED; FINGERPRINT-PROTECTED","Parent 1m/5m formula retained; Sharia eligibility tail intentionally removed; exact pair enforced at emission; entry source/token hashes recorded in STRATEGY_LINEAGE.md."
"monitoring/.env.monitor.example","Monitoring configuration","Generic monitor-only example","REVIEWED","Contains placeholders and no Binance trading key."
"monitoring/.env.monitor.live.example","Monitoring configuration","Live-mode separate paths port and token","REVIEWED","Monitor credentials remain distinct from bot trading credentials."
"monitoring/.env.monitor.simulation.example","Monitoring configuration","Simulation-mode separate paths port and token","REVIEWED","Mode-specific monitor config keeps simulation data isolated."
"monitoring/.env.monitor.testnet.example","Monitoring configuration","Testnet-mode separate paths port and token","REVIEWED","Mode-specific monitor config keeps Testnet data isolated."
"monitoring/INSTALL.md","Monitoring documentation","Separate monitor installation","REVIEWED","Uses monitor-specific environment files and canonical unit set."
"monitoring/MIGRATION_NOTES.md","Monitoring documentation","Removal of legacy monitor variants","REVIEWED","Directs migration to the one canonical API and separate config."
"monitoring/PACKAGE_NOTES.txt","Monitoring documentation","Addon identity scope and defaults","REVIEWED","States read-only hardened monitoring boundary."
"monitoring/README.md","Monitoring documentation","API MCP Telegram and modes overview","REVIEWED","Documents canonical interface and safe failure behavior."
"monitoring/SECURITY.md","Monitoring documentation","Threat model auth network secrets and redaction","REVIEWED","Requires network restriction TLS/proxy as appropriate and token separation."
"monitoring/__init__.py","Monitoring","Package marker","REVIEWED","No competing API implementation."
"monitoring/api/__init__.py","Monitoring API","Canonical API package marker","REVIEWED","Canonical HTTP implementation is monitoring/api/app.py."
"monitoring/api/app.py","Monitoring API","Versioned read-only HTTP routes composition errors and redaction","REVIEWED; RUNTIME BLOCKED","Single canonical FastAPI app returns bounded redacted status/report data and no mutation/order route."
"monitoring/api/authentication.py","Monitoring API","Bearer authentication rate limiting audit and request IDs","REVIEWED","Uses constant-time token comparison and records bounded authentication failures."
"monitoring/api/configuration.py","Monitoring API","Monitor-only environment parsing paths and bounds","REVIEWED","Does not load the bot trading env or Binance credentials."
"monitoring/api/database.py","Monitoring API","Read-only SQLite access and failure handling","REVIEWED","Uses read-only database access and degrades safely for missing locked or malformed state."
"monitoring/api/log_redaction.py","Monitoring API","Log and object secret redaction","REVIEWED","Covers quoted JSON and signed-query forms while preserving explicitly named public release hashes."
"monitoring/api/metrics.py","Monitoring API","Latency resource and health calculations","REVIEWED","Bounded metrics include percentile/resource views and tolerate missing providers."
"monitoring/api/schemas.py","Monitoring API","Response models and bounded schema","REVIEWED","Defines read-only response structures; no money-moving input model."
"monitoring/control.py","Monitoring","Mode/path validation and service observation","REVIEWED","Control helpers observe expected units/state without acquiring exchange order capability."
"monitoring/mcp/monitor_mcp_server.py","Monitoring MCP","Read-only MCP tool surface","REVIEWED; RUNTIME BLOCKED","Exposes monitoring queries only and no order mutation tool; real MCP process not run locally."
"monitoring/requirements-monitoring-dev.txt","Monitoring dependencies","Test dependency roots","REVIEWED","Adds pytest to runtime requirements for development verification."
"monitoring/requirements-monitoring.lock","Monitoring dependencies","Hash-pinned monitoring closure","REVIEWED; VERIFIED","Require-hashes dry-run, pip check and strict vulnerability audit passed on Python 3.13."
"monitoring/requirements-monitoring.txt","Monitoring dependencies","Direct monitoring runtime requirements","REVIEWED","FastAPI Uvicorn HTTPX psutil Pydantic and MCP are explicitly pinned."
"monitoring/systemd/bitcoin-bot-monitor-live.service","Monitoring systemd","Live API service","REVIEWED; SYSTEMD RUN BLOCKED","Has matching mode-specific config; static only on audit host."
"monitoring/systemd/bitcoin-bot-monitor-report-live.service","Monitoring systemd","Live Telegram report service","REVIEWED; SYSTEMD RUN BLOCKED","Matching report timer exists."
"monitoring/systemd/bitcoin-bot-monitor-report-live.timer","Monitoring systemd","Live report schedule","REVIEWED; SYSTEMD RUN BLOCKED","Targets existing live report service."
"monitoring/systemd/bitcoin-bot-monitor-report-simulation.service","Monitoring systemd","Simulation Telegram report service","REVIEWED; SYSTEMD RUN BLOCKED","Matching report timer exists."
"monitoring/systemd/bitcoin-bot-monitor-report-simulation.timer","Monitoring systemd","Simulation report schedule","REVIEWED; SYSTEMD RUN BLOCKED","Targets existing simulation report service."
"monitoring/systemd/bitcoin-bot-monitor-report-testnet.service","Monitoring systemd","Testnet Telegram report service","REVIEWED; SYSTEMD RUN BLOCKED","Matching report timer exists."
"monitoring/systemd/bitcoin-bot-monitor-report-testnet.timer","Monitoring systemd","Testnet report schedule","REVIEWED; SYSTEMD RUN BLOCKED","Targets existing testnet report service."
"monitoring/systemd/bitcoin-bot-monitor-simulation.service","Monitoring systemd","Simulation API service","REVIEWED; SYSTEMD RUN BLOCKED","Has separate simulation monitor config."
"monitoring/systemd/bitcoin-bot-monitor-snapshot.service","Monitoring systemd","Snapshot one-shot service","REVIEWED; SYSTEMD RUN BLOCKED","Matching snapshot timer exists."
"monitoring/systemd/bitcoin-bot-monitor-snapshot.timer","Monitoring systemd","Snapshot schedule","REVIEWED; SYSTEMD RUN BLOCKED","Targets existing snapshot service."
"monitoring/systemd/bitcoin-bot-monitor-testnet.service","Monitoring systemd","Testnet API service","REVIEWED; SYSTEMD RUN BLOCKED","Has separate Testnet monitor config."
"monitoring/telegram/__init__.py","Monitoring Telegram","Package marker","REVIEWED","No bot trading credential or order API."
"monitoring/telegram/telegram_reporter.py","Monitoring Telegram","Read-only scheduled report delivery and redaction","REVIEWED; REAL DELIVERY BLOCKED","Reporter token is separately configured and output redacted; network delivery not run."
"monitoring/tests/__init__.py","Tests","Monitoring test package marker","REVIEWED","Enables canonical monitoring suite discovery."
"monitoring/tests/test_monitoring.py","Tests","Auth routes redaction failures systemd and MCP coverage","REVIEWED; 51/51 PASSED","Canonical monitor behavior passed, including quoted JSON secrets and public release hash preservation."
"requirements-dev.txt","Dependencies","Offline verification dependency roots","REVIEWED","Combines custom-service and monitoring development dependencies plus YAML and pip-audit."
"requirements.services.lock","Dependencies","Hash-pinned custom service runtime closure","REVIEWED; VERIFIED","Require-hashes dry-run, pip check and strict vulnerability audit passed on Python 3.13."
"requirements.services.txt","Dependencies","Direct custom service requirements","REVIEWED","Requests websocket client python-binance and pycryptodome are explicitly pinned."
"scripts/activate_codeowners.py","Release tooling","CODEOWNERS activation with ledger and manifest consistency","REVIEWED","Writes .github/CODEOWNERS from the shipped example with a validated owner, inserts the file-review ledger row and rebuilds the manifest atomically; refuses the placeholder and is safe to re-run."
"scripts/build_audit_ledgers.py","Release tooling","File-ledger exact path set and full callable-matrix regeneration/check","CREATED; REVIEWED","Fails on missing/stale file rows and inventories every non-test Python function plus every Bash function declaration; the manifest binds complete shell files."
"scripts/build_manifest.py","Release tooling","Deterministic file inventory release hash and strategy fingerprints","REVIEWED","Excludes generated caches/self hashes and fails if package mode or protected strategy methods differ."
"scripts/build_release_zip.py","Release tooling","Deterministic ZIP member safety CRC and external SHA","REVIEWED; FINAL BUILD VERIFIED","Ran after manifest freeze; fresh ZIP member/CRC checks, external SHA and extract/retest passed."
"scripts/certify_live_evidence.py","Promotion tooling","Offline Ed25519 key generation evidence template validation and signing","REVIEWED; EXTERNAL EVIDENCE BLOCKED","Private key is offline-only and exact backtest/pair/risk/release data are bound."
"scripts/healthcheck.sh","Operations","Root service and sidecar status checks","REVIEWED; RUNTIME BLOCKED","Requires deployed Docker stack."
"scripts/set_git_exec_bits.py","Deployment","Executable bits recorded in the Git index","REVIEWED","Applies git update-index --chmod=+x to the same 18 paths build_release_zip.py stores as 0755, so a Windows-created repository does not deliver non-executable deploy scripts to the Oracle host."
"scripts/verify_binance_public_kline_archive.py","Data verification","Official Spot kline ZIP CHECKSUM safety schema and timestamp-unit verification","CREATED; REVIEWED","Read-only verifier passed the official 1440-row BTCUSDT 1m 2025-01-01 microsecond archive and rejects unsafe or corrupt inputs."
"scripts/verify_live_evidence.py","Promotion tooling","Host-side exact signed evidence verification","REVIEWED; SIGNED EVIDENCE BLOCKED","Fails closed on signature release strategy pair risk artifact metric assertion or validity mismatch."
"scripts/verify_manifest.py","Release tooling","Manifest file set hash size and strategy verification","REVIEWED","Detects additions removals byte changes and protected method drift after final manifest exists."
"scripts/verify_systemd_units.py","Deployment","Source vs installed systemd verification contexts","REVIEWED","Replaces a blanket systemd-analyze error suppressor. Source mode excuses only enumerated project-owned install paths and docker.service; installed mode excuses nothing and requires exit 0 plus real executable targets."
"services/__init__.py","Services","Package marker","REVIEWED","No runtime logic."
"services/common/__init__.py","Common","Package marker","REVIEWED","No runtime logic."
"services/common/atomic.py","Common","Atomic durable file writes","REVIEWED","Temporary file flush/fsync and replace apply everywhere; parent-directory fsync is POSIX-only to preserve Oracle durability without a Windows blocking call."
"services/common/audit.py","Common","Bounded redacted JSONL audit sink","REVIEWED","Audit failures are contained and records pass through redaction."
"services/common/binance_public.py","Common","Bounded public Binance GET client environment bases reference price and execution rules","REVIEWED","Production and Spot Testnet bases are explicit; exact-symbol executionRules/referencePrice helpers contain no order method."
"services/common/config_bounds.py","Common","Strict bounded environment parsing","REVIEWED","Rejects nonfinite out-of-range and malformed operational configuration."
"services/common/envelope.py","Common","HMAC bus envelope creation verification freshness and replay inputs","REVIEWED","Finite timestamps purpose-specific keys strict TTL/release/signature checks; signal and command keys are separated."
"services/common/evidence_signature.py","Common","Ed25519 canonical document signing/verification","REVIEWED","Promotion signature is asymmetric and runtime requires public key only."
"services/common/market_policy.py","Common","BTC/stable canonicalization and pair-state hash","REVIEWED","Rejects non-BTC base unallowlisted quote malformed symbol and inconsistent state."
"services/common/models.py","Common","Typed flow and timeframe data models","REVIEWED","Structures exact-pair public context without order capability."
"services/common/pair_registry.py","Pair policy","Current exchangeInfo BTC-base registry capability report and TTL cache","CREATED; REVIEWED","Lists only explicit Spot-allowed TRADING BTC-base rows; records complete per-mode entry-protection capabilities and refreshes before selection."
"services/common/paths.py","Common","Runtime path policy","REVIEWED","Centralizes shared/runtime paths and supports isolated deployments."
"services/common/redaction.py","Common","Central secret query JSON token and credential redaction","REVIEWED","Used before persistence and final Telegram delivery; public hash handling is explicit in monitoring layer."
"services/common/retention.py","Common","Bounded file/log retention","REVIEWED","Prevents unbounded archives while retaining recent evidence."
"services/common/strategy_fingerprint.py","Common","Interpreter-independent method source/token hashing","REVIEWED","Canonicalizes protected strategy methods for manifest/live evidence."
"services/execution_sidecar/__init__.py","Execution","Package marker","REVIEWED","No runtime logic."
"services/execution_sidecar/bitcoin_adapter.py","Execution","Authenticated lifecycle intents reconciliation entry protection conversion emergency exit","REVIEWED; TESTNET RUN BLOCKED","Sole Spot order adapter implements no-blind-retry crash recovery partial/stale handling exact ownership and bounded replacement; external lifecycle proof pending."
"services/execution_sidecar/client_ids.py","Execution","Collision-resistant deterministic role IDs","REVIEWED","IDs support query-before-retry and fixed-clock concurrency safety."
"services/execution_sidecar/filters.py","Execution","Current symbol order/list/trailing and execution-rule preflight","REVIEWED; TESTNET PROOF BLOCKED","Validates exact environment metadata quantities prices notionals trailing deltas capacities and dynamic PRICE_RANGE before money-moving calls."
"services/execution_sidecar/live_evidence.py","Execution","Live lease exact policy/backtest/assertion verification","REVIEWED; PROMOTION BLOCKED","Fail-closed gate binds release strategy pair risk official result and external assertions with expiry."
"services/execution_sidecar/main.py","Execution","Supervisor command/signal processing disarm health and redacted results","REVIEWED","Entries start off; live policy is evidence-bound; commands/results are durable and redacted."
"services/execution_sidecar/order_manager.py","Execution","Signal claim validation and adapter dispatch","REVIEWED","Claims before side effects and archives bounded processed/rejected inputs."
"services/execution_sidecar/package_mode.py","Execution safety","Immutable live/testnet package interlock","CREATED; REVIEWED","Testnet cannot run live and live cannot run testnet regardless of environment overrides."
"services/execution_sidecar/pair_control.py","Execution","Authoritative pair bootstrap validation and switch publication","REVIEWED","Requires exact pairlist/overlay projections and verified flatness before generation change."
"services/execution_sidecar/protection_modes.py","Execution","OTOCO OCO trailing break-even and profit-lock request construction","REVIEWED; TESTNET RUN BLOCKED","Conservative fee/buffer prices and supported modes are preflighted; actual fills pending."
"services/execution_sidecar/reconciler.py","Execution","Durable versus exchange ownership reconciliation","REVIEWED","Fails closed on unowned disappeared or inconsistent order/list/exposure state."
"services/execution_sidecar/risk_checks.py","Execution","Freshness cooldown stopout corruption and fee-aware risk state","REVIEWED","Corrupt/symlink state fails closed and fee-adjusted protective exits drive counters."
"services/execution_sidecar/simulation_adapter.py","Execution","No-network deterministic execution simulation","REVIEWED","Supports safe default demonstrations without authenticated Binance requests."
"services/execution_sidecar/spot_gateway.py","Execution","Minimal authenticated Binance Spot GET/POST/DELETE gateway","REVIEWED; TESTNET RUN BLOCKED","Adds bounded timeout recvWindow server-time offset and limit-header telemetry while preserving ambiguous outcome classification and no automatic POST retry."
