"issue_id","area","severity","classification","affected_paths","observation","resolution_or_control","verification","status","remaining_risk"
"BTC-AUD-022","Risk-state corruption","CRITICAL","Fail-closed persistence","services/execution_sidecar/risk_checks.py; services/execution_sidecar/state_store.py; services/execution_sidecar/bitcoin_adapter.py","Missing malformed or symlinked existing state must not silently reset loss controls; startup reconciliation must not erase a restored global risk pause.","Make SQLite schema v2 authoritative for the unchanged risk-guard payload; transactionally migrate validated legacy JSON with its SHA-256; preserve JSON as a rebuildable projection; reject unexplained legacy loss and unsupported/corrupt SQLite; require explicit owner pause clearance after reconciliation.","Migration rollback missing/corrupt/conflicting projection checksum restart commit-failure backup and startup-pause regressions passed in the final core gate.","FIXED IN SOURCE; ORACLE TESTNET FAULT/REBOOT VALIDATION PENDING","SQLite and projection failures now fail closed; actual Oracle disk-full reboot and restore evidence remains required."
"BTC-AUD-023","Docker/systemd/Oracle execution","HIGH","Evidence gap","Dockerfile.services; docker-compose.yml; deploy; monitoring/systemd","Static source review cannot prove container builds service identity systemd behavior or Oracle resource adequacy.","Require canonical Linux commands and retained runtime evidence from immutable artifact deployment.","See docs/audit/TEST_COMMANDS.md and docs/EXTERNAL_VALIDATION_RUNBOOK.md.","BLOCKED EXTERNAL","Do not label the build production-ready until closed."
"BTC-AUD-024","Authenticated integration","CRITICAL","Evidence gap","services/execution_sidecar; services/telegram_broker","No authenticated Testnet order lifecycle real Telegram delivery or live order was performed on the audit host.","Complete the full retained Testnet/Telegram drill matrix before evidence certification.","See docs/LIVE_PROMOTION_CHECKLIST.md.","BLOCKED EXTERNAL","Unit mocks cannot establish exchange behavior."
"BTC-AUD-025","Strategy performance/bias","CRITICAL","Evidence gap","freqtrade/scripts; IctSmcStrategy.py; docs/BACKTEST_REVIEW_2026-07-29.md","The exact BTC/USDT Freqtrade result now exists and decisively fails profitability/drawdown; no redesigned frozen strategy, untouched out-of-sample pass, lookahead conclusion or recursive conclusion exists.","Retain the failed canonical result; do not tune against it under this deployment-only scope; redesign and freeze separately before new training and untouched evaluation.","The unchanged-strategy repeat produced the same 2349 trades and canonical trade-list SHA-256 1b57fda8be10717cfddeaf87d2ceeff188bd34bc4e6ad6f5d21d19e03d92d415.","BACKTEST EXECUTED AND FAILED; BIAS/OOS DEFERRED","Even a future passing result would not guarantee future profit."
"BTC-AUD-026","Git/GitHub provenance","MEDIUM","Release-process gap",".github","The original release source had no Git repository, commit provenance or executable GitHub workflow evidence.","Publish separate user-owned private repositories; preserve exact Git history; run pinned CI for every release commit; use manual simulation controls without assuming plan-dependent reviewers.","Both private repositories and Git history now exist; workflow and artifact evidence remains exact-commit-specific.","SOURCE GAP CLOSED; COMMIT-SPECIFIC CI REQUIRED","Branch rules, approvals and artifact evidence must be verified separately for the exact release commit."
"BTC-AUD-027","Release evidence freeze","HIGH","Release-assembly defect closed","VALIDATION_STATUS.json; RELEASE_MANIFEST.json; RELEASE_SHA256.txt","The pre-freeze status and manifest were stale while source changes were in progress.","The final Bitcoin-only results were recorded before rebuilding the exact manifest and external deterministic ZIP.","Manifest exact-set/hash verification plus fresh-extract tests and external ZIP checksum passed.","CLOSED IN FINAL RELEASE FREEZE","Any later source change requires a complete manifest and ZIP rebuild."
"BTC-AUD-028","Stop-limit/cancel replacement","HIGH","Known inherent limitation","protection_modes.py; bitcoin_adapter.py","Stop-limit may not fill through a gap and cancel/replace cannot be one atomic Binance operation.","Use conservative filters buffers durable intents no blind retry fail-closed reconciliation and explicit emergency exit.","Unit coverage plus mandatory Testnet gap/race drills.","KNOWN LIMITATION","Cannot be eliminated entirely in software."
"BTC-AUD-029","Testnet market-data split","MEDIUM","Intentional architecture","moneyflow/client.py; bitcoin_adapter.py; docker-compose.yml","Testnet signals use production public market data while authenticated orders and execution filter metadata use Spot Testnet.","Document the split and bind execution validation to the order environment; treat Testnet fills as functional not production-liquidity evidence.","Mode-specific filter and public-client tests.","ACCEPTED DESIGN","Operators may misinterpret Testnet execution quality without this caveat."
"BTC-AUD-030","Account isolation","HIGH","Operational prerequisite","services/execution_sidecar/bitcoin_adapter.py; docs/SECURITY_AND_SECRETS_GUIDE.md","Bot-owned exposure is tracked separately so emergency exit deliberately avoids unrelated BTC.","Use a dedicated otherwise-flat Spot account/subaccount with Spot trade only withdrawals disabled and IP restriction where available.","Emergency quantity regressions; account controls require operator evidence.","BLOCKED OPERATOR CONTROL","Manual holdings or permissions can invalidate operational assumptions."
"BTC-AUD-031","External provider schema and quota","HIGH","Confirmed integration defect","services/moneyflow/external_clients.py; services/moneyflow/external_context.py","CoinMarketCap v3 uses a bare row array and free-provider calls need durable pre-request accounting below quota.","Require exact Bitcoin/USD provider identities and v3 shape; reserve cross-process SQLite quota before dispatch; cap at 96 percent; back off and fail closed on initialized ledger loss.","Provider schema quota concurrency corruption state-loss cache and degradation tests passed.","FIXED IN SOURCE; REAL PROVIDER DELIVERY NOT RUN","Free-plan terms and provider schemas can change; both clients default disabled and are advisory only."
"BTC-AUD-032","Binance referencePrice","CRITICAL","Confirmed capital-safety defect","services/common/binance_public.py; services/execution_sidecar/filters.py; services/execution_sidecar/bitcoin_adapter.py","Average or ticker price could accept an order Binance rejects when current referencePrice differs, leaving cancel-and-replace exposed.","Use /api/v3/referencePrice with only documented null/-2043 fallback; all other failures close; refresh filters/reference immediately before replacement POST after cancellation.","Divergence fallback malformed transport and post-cancel second-preflight regressions passed.","FIXED IN SOURCE; TESTNET FILTER DRILL BLOCKED","Binance can change endpoint/filter behavior and real order lifecycle remains external."
"BTC-AUD-033","Dynamic BTC pair capability","HIGH","Confirmed conversion gap","services/common/pair_registry.py; services/execution_sidecar/bitcoin_adapter.py; services/execution_sidecar/filters.py","Spot eligibility alone does not prove OTO OCO or trailing support for the configured protection mode.","Report capabilities separately and require the exact mode's complete entry/replacement capability before selection and before request.","Dynamic registry per-mode capability and endpoint preflight tests passed.","FIXED IN SOURCE; TESTNET PAIR MATRIX BLOCKED","Current Binance markets and Testnet capabilities can differ."
"BTC-AUD-034","Staged pair switch","CRITICAL","Confirmed cross-service state gap","services/execution_sidecar/pair_control.py; services/execution_sidecar/main.py; services/telegram_broker/bot.py","Immediately applying a selected pair or inferring it from balances can desynchronize Freqtrade and the sidecar or choose the wrong market.","Persist select/disarm/reconcile/WAITING_MANUAL_SWAP/apply/verify/PAUSED_READY stages; recheck flatness and funding; require exact heartbeat and separate resume; never infer from balances.","Staged pair state Telegram replay generation/config hash and resume-blocking tests passed.","FIXED IN SOURCE; TESTNET/TELEGRAM DRILL BLOCKED","Operator swap timing and real Freqtrade reload behavior require external validation."
"BTC-AUD-035","Package and audit identity","HIGH","Confirmed release-process defect class","RELEASE_MODE; services/execution_sidecar/package_mode.py; scripts/build_audit_ledgers.py; .github/CODEOWNERS.example","A unified package or stale ledgers/active placeholder ownership rule can undermine mode claims and release review.","Build separate immutable live/testnet packages; testnet rejects live; verify exact file and function ledgers; ship only an inactive CODEOWNERS template.","Package-mode ledger and placeholder regression plus final archive checks.","FIXED IN SOURCE; COMMIT-SPECIFIC CI AND ORACLE EVIDENCE REQUIRED","Repository protections and runtime package identity still need exact-commit GitHub and Oracle evidence."
"BTC-AUD-036","Offline active-pair state","HIGH","Confirmed offline-analysis defect","freqtrade/scripts/backtest.sh; freqtrade/scripts/lookahead.sh; freqtrade/scripts/recursive.sh","All three helpers generated active_pair.json without the pair_config_hash required by the strategy seam.","Generate pair_config_hash before pair_state_hash in every offline helper and enforce this with a regression test.","Focused helper-policy tests and successful exact-source Freqtrade backtest startup.","FIXED IN SOURCE","The pinned Linux container path still requires GitHub or Docker runtime confirmation."
"BTC-AUD-037","Offline signal seam","HIGH","Confirmed runtime-analysis defect","freqtrade/user_data/strategies/IctSmcStrategy.py","Historical no-signal rows can contain NaN; converting the entry flag with int raised repeatedly and the hook rewrote runtime heartbeat state per candle.","Treat NaN as no signal and return before runtime seam work in backtest hyperopt and edge modes.","The corrected 827230-candle backtest completed without seam errors; regression source checks passed.","FIXED IN SOURCE","Live and dry-run seam delivery still require container and Testnet observation."
"BTC-AUD-038","Strategy profitability","BLOCKER","Confirmed release gate failure","freqtrade/user_data/strategies/IctSmcStrategy.py; docs/BACKTEST_REVIEW_2026-07-29.md","The exact BTC/USDT strategy lost 49.10 percent with profit factor 0.30 and 49.11 percent drawdown over 574 days after fees and protections.","Keep live certification false and execution simulation-first; redesign and freeze the strategy before untouched out-of-sample and bias analysis.","Freqtrade 2026.6 canonical result: 2349 trades; an unadopted no-exit diagnostic also failed at -33.99 percent profit factor 0.32 and 34.11 percent drawdown.","BLOCKER; LIVE PROMOTION PROHIBITED","No current evidence of a positive robust edge; backtest success would still not guarantee future profit."
"BTC-AUD-039","Binance Price Range execution rule","CRITICAL","Confirmed capital-safety validation gap","services/common/binance_public.py; services/execution_sidecar/filters.py; docs/BINANCE_OFFICIAL_SOURCE_REVIEW_2026-07-29.md","Replacement preflight enforced exchangeInfo percent filters but did not query the newer dynamic PRICE_RANGE execution rule, so an accepted order could later expire outside its executable band.","Query exact-symbol executionRules and official referencePrice; validate side-specific execution prices before cancellation and again before POST; honor documented absent-multiplier/null-reference behavior.","Official Binance plugin showed BTCUSDT PRICE_RANGE 0.85 to 1.15 versus exchangeInfo percent bounds 0.5 to 2.0; focused pass/fail/malformed/no-reference tests passed.","FIXED IN SOURCE; AUTHENTICATED TESTNET DRILL BLOCKED","Reference prices change continuously and actual execution lifecycle requires Testnet evidence."
"BTC-AUD-040","EXPIRED_IN_MATCH lifecycle","HIGH","Confirmed authenticated-state gap","services/execution_sidecar/state_store.py; tests/test_binance_official_sources.py","The adapter recognized EXPIRED_IN_MATCH as terminal but the event store omitted it from BUY and SELL terminal transitions, allowing an STP-expired order to retain stale state.","Treat EXPIRED_IN_MATCH as terminal; reject an unfilled BUY and force authoritative reconciliation for expired SELL protection.","Deterministic authenticated-event regressions for entry and protection paths passed.","FIXED IN SOURCE; AUTHENTICATED TESTNET STP DRILL BLOCKED","Real self-trade-prevention events and reconnect races remain external."
"BTC-AUD-041","Signed request timing and limit telemetry","HIGH","Confirmed reliability hardening gap","services/execution_sidecar/spot_gateway.py; services/execution_sidecar/user_data_stream.py; .env.example; docker-compose.yml","The installed gateway inherited a 10000 ms recvWindow and no synchronous startup clock offset while Binance recommends 5000 ms or less.","Bound timeout and recvWindow; synchronize server time with an RTT midpoint; reuse the offset for WebSocket subscription; record rate and order-count headers without automatic POST retry.","Clock midpoint excessive-latency signing and existing ambiguous-outcome regressions passed.","FIXED IN SOURCE; AUTHENTICATED TESTNET TIMING DRILL BLOCKED","Clock behavior network latency and rate limits require deployed observation."
"BTC-AUD-042","Official public kline archive integrity","HIGH","Confirmed backtest-data ingestion risk","scripts/verify_binance_public_kline_archive.py; tests/test_binance_official_sources.py; docs/BINANCE_OFFICIAL_SOURCE_REVIEW_2026-07-29.md","Binance Spot archives use microseconds from 2025-01-01 and historical ZIPs may be replaced, so unchecked downloads can be corrupted or interpreted with the wrong unit.","Require adjacent CHECKSUM, safe single-CSV ZIP and schema/timestamp-unit verification before conversion or backtest use; preserve raw archives.","Official BTCUSDT 1m 2025-01-01 archive passed SHA-256 and 1440-row microsecond verification; corruption and traversal tests passed.","FIXED IN SOURCE; CONVERSION REMAINS EXPLICIT","The verifier does not transform data; any future converter needs separate parity tests."
"BTC-AUD-043","Windows directory fsync hang","HIGH","Confirmed cross-platform durability defect","services/common/atomic.py; tests/test_execution_safety.py","Repeated all-files audit runs blocked indefinitely when Windows attempted fsync on an opened directory after atomic JSON replacement; faulthandler identified the exact frame.","Keep file flush file fsync chmod and atomic replace on all platforms; perform parent-directory fsync only on POSIX where Oracle/Linux supports the primitive.","A platform regression rejects directory os.open outside POSIX; the complete Windows suite exited after the fix.","FIXED IN SOURCE; POSIX DURABILITY PRESERVED","Actual Oracle filesystem durability and crash recovery still require host fault drills."
"BTC-AUD-044","Oracle self-hosted deployment trust","CRITICAL","Confirmed deployment hardening gap",".github/workflows/ci.yml; deploy/bitcoin-bot-deploy; deploy/oracle_setup.sh","A GitHub-hosted SSH job required broad changing ingress and a repository-controlled checksum alone was not an independent root trust anchor.","Keep verification/package jobs hosted; use a dedicated non-Docker non-sudo Oracle runner only for manual main-branch simulation; require a one-use root-approved tarball SHA-256 and three exact root-wrapper commands.","Static workflow wrapper syntax policy and regression tests pass; hosted verification evidence is commit-specific; actual Oracle execution remains external.","FIXED IN SOURCE; ORACLE RUN BLOCKED; GITHUB EVIDENCE COMMIT-SPECIFIC","A persistent self-hosted runner is not isolated; repository compromise can still affect host availability, and operator approval custody must be proven."
"BTC-AUD-045","Telegram self-audit","HIGH","Confirmed observability gap","services/telegram_broker/bot.py; tests/test_control_and_flow.py","Owner controls exposed status fragments but no single fail-closed read-only report checked release identity health freshness pair consistency Freqtrade reachability unresolved intents and entries-off state.","Add owner-only /audit and menu action; read only existing runtime evidence and GET /ping; never submit a sidecar command repair state or resume entries.","Healthy and stale/armed deterministic regressions plus no-sidecar-mutation assertion pass offline.","FIXED IN SOURCE; REAL TELEGRAM DELIVERY BLOCKED","A report can only reflect available files and service responses; real Telegram delivery and host evidence remain external."
"BTC-AUD-046","CI artifact file-ledger drift","HIGH","Confirmed release-process defect",".github/workflows/ci.yml; .git-commit; scripts/build_audit_ledgers.py","The artifact job created .git-commit after the source exact-path ledger check, so a freshly extracted CI tarball would contain an unledgered file and fail verify_release.sh.","Track a harmless source-ZIP placeholder at the same path; CI overwrites only its value before rebuilding the manifest, preserving one exact reviewed path set.","Local placeholder and simulated CI-overwrite ledger/manifest checks pass; real Actions artifact evidence is exact-commit-specific.","FIXED IN SOURCE; GITHUB ARTIFACT EVIDENCE COMMIT-SPECIFIC","Artifact retention and extraction proof must be checked on the exact release workflow run."
"BTC-AUD-047","Spot-only market confluence","HIGH","Confirmed policy and measurement gap","services/moneyflow/client.py; services/moneyflow/spot_stream.py; services/moneyflow/analytics.py; services/moneyflow/service.py","The prior money-flow service mixed Spot and USD-M futures requests and measured recent aggregate-trade rows rather than a bounded rolling interval; external fixed-BTC providers could not be explicitly required as confluence.","Remove all futures clients and methods; add credential-free 15 30 and 60 second Spot rolling windows with reconnect and gap warm-up; retain explicit REST fallback; add opt-in fail-closed CoinGecko/CoinMarketCap agreement behind the existing flow gate.","Deterministic Spot-only endpoint rolling-window stale gap malformed and confluence regressions pass; a credential-free public smoke observed both aggregate-trade and book-ticker frames; authenticated provider keys and Oracle stream stability remain external.","FIXED IN SOURCE; PROVIDER AND ORACLE EVIDENCE REQUIRED","Long-running public stream continuity provider availability and whether confluence improves out-of-sample performance require TestNet and Oracle evidence; LIVE promotion remains prohibited."
